EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,JobSatisfaction,EnvironmentSatisfaction,YearsAtCompany,YearsSinceLastPromotion,OverTime,Attrition
27,36,Female,Research & Development,Research Scientist,18398,3,4,4,1,Yes,Yes
28,24,Male,Sales,Laboratory Technician,9638,2,1,4,6,Yes,No
29,58,Male,Research & Development,Human Resources,9570,1,4,9,7,Yes,No
30,28,Female,Sales,Laboratory Technician,6249,2,2,4,5,No,Yes
31,42,Female,Human Resources,Research Scientist,12110,1,2,2,4,Yes,No
32,30,Male,Sales,Manager,10595,2,3,5,8,Yes,No
33,39,Male,Sales,Sales Executive,16605,4,4,3,2,Yes,No
34,25,Female,Sales,Manager,15115,3,4,17,9,Yes,No
35,46,Male,Sales,Human Resources,9294,1,4,8,3,No,Yes
36,35,Male,Human Resources,Sales Executive,8757,2,3,16,8,Yes,Yes
37,30,Male,Human Resources,Human Resources,15595,2,3,12,5,No,No
38,47,Female,Research & Development,Research Scientist,4969,2,2,14,7,Yes,No
39,23,Female,Human Resources,Sales Executive,13985,4,1,19,6,No,No
40,41,Female,Human Resources,Human Resources,7470,4,4,16,1,Yes,No
41,49,Female,Research & Development,Research Scientist,13225,1,4,12,2,Yes,No
42,28,Female,Human Resources,Manager,12556,1,1,15,0,No,No
43,29,Female,Sales,Research Scientist,12206,4,4,3,8,Yes,No
44,56,Female,Sales,Laboratory Technician,12991,1,3,4,6,No,No
45,35,Male,Research & Development,Research Scientist,10519,3,3,4,0,Yes,No
46,38,Male,Research & Development,Research Scientist,16669,3,4,8,2,No,Yes
47,57,Male,Research & Development,Laboratory Technician,7612,4,3,16,3,Yes,No
48,25,Male,Sales,Human Resources,15373,1,3,12,3,Yes,No
49,23,Male,Human Resources,Human Resources,18552,2,4,1,4,No,No
50,27,Male,Sales,Research Scientist,17646,3,2,12,2,Yes,No
51,25,Male,Research & Development,Laboratory Technician,8238,4,1,18,2,Yes,No
52,50,Female,Human Resources,Laboratory Technician,18577,1,3,2,0,Yes,No
53,39,Female,Human Resources,Manager,18504,4,2,9,6,Yes,Yes
54,47,Male,Sales,Human Resources,6719,2,3,1,9,Yes,Yes
55,55,Male,Research & Development,Sales Executive,3302,3,3,12,0,Yes,No
56,31,Female,Sales,Human Resources,15144,4,1,18,1,No,Yes
57,57,Male,Human Resources,Human Resources,13055,4,3,16,3,No,No
58,35,Male,Sales,Manager,7440,4,1,13,3,No,No
59,52,Female,Sales,Sales Executive,6072,2,1,11,4,Yes,No
60,36,Male,Research & Development,Manager,16598,4,1,11,1,No,No
61,29,Female,Research & Development,Sales Executive,17287,2,2,10,3,Yes,No
62,35,Male,Human Resources,Research Scientist,16965,2,4,6,0,Yes,No
63,44,Female,Sales,Sales Executive,12519,2,2,3,1,Yes,No
64,42,Female,Sales,Manager,16380,3,4,18,0,Yes,Yes
65,37,Female,Sales,Human Resources,14865,3,4,0,9,No,No
66,39,Male,Human Resources,Sales Executive,11125,4,1,2,9,Yes,No
67,45,Female,Human Resources,Sales Executive,6291,4,3,12,3,No,No
68,47,Male,Research & Development,Laboratory Technician,7033,3,1,14,3,Yes,No
69,46,Male,Research & Development,Human Resources,8105,1,3,1,6,No,Yes
70,50,Male,Research & Development,Research Scientist,11133,3,4,10,9,No,No
71,36,Male,Sales,Manager,19958,2,1,3,8,No,No
72,22,Female,Sales,Research Scientist,8704,3,3,18,8,No,No
73,46,Female,Research & Development,Human Resources,10848,2,2,16,4,No,No
74,28,Male,Sales,Sales Executive,15975,4,3,2,9,No,No
75,30,Male,Research & Development,Sales Executive,9924,1,1,17,0,Yes,Yes
76,45,Female,Human Resources,Human Resources,3488,4,2,7,0,No,No
77,22,Male,Research & Development,Sales Executive,10114,2,3,18,5,Yes,Yes
78,29,Female,Human Resources,Sales Executive,18740,2,3,4,1,No,No
79,45,Male,Sales,Sales Executive,6173,2,3,6,7,Yes,No
80,32,Male,Research & Development,Manager,4667,1,3,7,8,No,No
81,38,Female,Sales,Manager,7114,3,3,4,3,No,No
82,29,Male,Human Resources,Laboratory Technician,6553,4,2,16,4,Yes,Yes
83,56,Female,Human Resources,Research Scientist,10761,4,4,4,7,No,No
84,56,Male,Human Resources,Human Resources,4000,3,2,3,2,No,Yes
85,54,Male,Sales,Human Resources,18638,4,2,18,4,No,No
86,26,Male,Sales,Human Resources,8450,1,2,1,2,Yes,No
87,49,Female,Sales,Laboratory Technician,6712,4,4,10,9,No,No
88,28,Male,Sales,Manager,4367,2,1,12,2,Yes,No
89,30,Male,Human Resources,Laboratory Technician,11189,3,4,14,2,No,Yes
90,29,Male,Human Resources,Human Resources,12013,1,2,11,6,No,Yes
91,33,Male,Research & Development,Research Scientist,19838,3,3,10,6,Yes,Yes
92,55,Female,Research & Development,Sales Executive,6726,1,3,6,6,No,No
93,54,Female,Sales,Manager,7806,2,2,4,9,No,No
94,44,Male,Human Resources,Manager,5190,3,3,16,7,Yes,No
95,45,Female,Human Resources,Laboratory Technician,12108,4,2,19,4,No,No
96,58,Male,Human Resources,Manager,15178,1,3,8,4,Yes,No
97,56,Male,Research & Development,Human Resources,5875,3,4,13,3,Yes,No
98,43,Male,Research & Development,Human Resources,8592,4,1,11,6,Yes,No
99,48,Female,Human Resources,Laboratory Technician,15592,3,1,5,9,No,No
100,56,Female,Human Resources,Human Resources,11927,3,4,16,3,Yes,No
101,22,Female,Human Resources,Research Scientist,17437,3,4,18,1,Yes,Yes
102,56,Female,Research & Development,Laboratory Technician,14530,1,2,18,3,No,No
103,58,Female,Human Resources,Research Scientist,10010,4,2,15,7,Yes,No
104,35,Female,Human Resources,Sales Executive,14207,2,2,11,8,No,No
105,24,Female,Sales,Research Scientist,5989,1,3,11,2,No,Yes
106,22,Female,Sales,Sales Executive,15040,1,2,19,6,No,No
107,26,Female,Research & Development,Sales Executive,12218,1,4,5,8,No,No
108,47,Male,Human Resources,Research Scientist,9471,2,1,3,3,Yes,Yes
109,35,Female,Human Resources,Laboratory Technician,5863,4,3,5,9,Yes,No
110,48,Female,Sales,Human Resources,13693,4,2,10,2,Yes,No
111,30,Female,Research & Development,Human Resources,4177,4,3,0,4,Yes,Yes
112,36,Female,Sales,Sales Executive,7760,3,3,14,0,Yes,Yes
113,36,Female,Sales,Sales Executive,3011,3,2,10,2,No,No
114,47,Female,Sales,Laboratory Technician,19353,3,3,18,7,Yes,No
115,34,Female,Sales,Manager,14556,2,1,17,7,Yes,No
116,53,Female,Human Resources,Research Scientist,14563,3,4,16,3,Yes,No
117,53,Female,Human Resources,Sales Executive,17051,2,4,18,1,No,Yes
118,25,Female,Sales,Human Resources,14022,4,1,13,7,No,No
119,51,Female,Research & Development,Laboratory Technician,11234,3,3,17,7,Yes,No
120,58,Male,Research & Development,Research Scientist,19173,3,2,18,9,No,Yes
121,44,Male,Research & Development,Laboratory Technician,16178,1,3,14,3,Yes,No
122,36,Female,Research & Development,Research Scientist,9570,2,1,14,2,Yes,No
123,50,Female,Sales,Research Scientist,3406,4,3,3,1,No,No
124,57,Male,Human Resources,Sales Executive,12206,1,4,6,8,No,Yes
125,34,Female,Research & Development,Laboratory Technician,7431,1,3,12,0,Yes,No
126,53,Male,Sales,Laboratory Technician,9542,4,1,2,6,Yes,No
127,28,Male,Research & Development,Human Resources,11906,1,4,15,4,No,No
128,43,Male,Research & Development,Human Resources,7146,2,3,8,7,Yes,Yes
129,49,Male,Sales,Sales Executive,15046,2,3,7,3,No,No
130,23,Male,Human Resources,Sales Executive,15611,3,4,19,6,Yes,No
131,27,Female,Human Resources,Manager,16076,1,2,12,4,No,No
132,49,Male,Sales,Human Resources,19524,3,4,16,4,Yes,No
133,49,Female,Human Resources,Research Scientist,7882,1,2,16,8,Yes,No
134,41,Female,Sales,Laboratory Technician,17113,2,1,16,8,No,No
135,51,Male,Sales,Sales Executive,16645,2,1,0,8,Yes,No
136,32,Male,Sales,Laboratory Technician,9012,2,4,7,5,Yes,No
137,49,Female,Human Resources,Laboratory Technician,10151,1,4,18,5,No,No
138,46,Male,Sales,Manager,6610,2,1,5,4,Yes,No
139,54,Male,Research & Development,Human Resources,12884,1,2,2,8,Yes,No
140,22,Female,Human Resources,Sales Executive,9894,3,1,4,9,Yes,No
141,48,Female,Human Resources,Laboratory Technician,16467,1,4,12,7,No,No
142,34,Male,Human Resources,Sales Executive,19489,3,1,14,6,No,Yes
143,24,Female,Human Resources,Research Scientist,12873,1,4,13,6,No,No
144,27,Male,Research & Development,Manager,15289,3,4,15,5,Yes,No
145,29,Male,Human Resources,Research Scientist,15208,2,1,17,4,Yes,No
146,48,Male,Human Resources,Sales Executive,13828,3,2,10,3,Yes,No
147,30,Female,Sales,Sales Executive,5137,2,3,2,2,Yes,No
148,58,Female,Human Resources,Human Resources,4286,2,1,9,2,No,No
149,54,Female,Research & Development,Laboratory Technician,18710,3,3,9,5,Yes,No
150,45,Female,Research & Development,Laboratory Technician,14371,1,1,15,3,Yes,No
151,36,Female,Research & Development,Research Scientist,18945,1,3,11,5,Yes,No
152,53,Male,Research & Development,Manager,10052,4,2,1,2,No,No
153,53,Male,Human Resources,Laboratory Technician,6654,1,2,8,3,Yes,No
154,45,Male,Human Resources,Human Resources,18600,4,1,2,8,Yes,Yes
155,33,Male,Research & Development,Research Scientist,11636,1,4,14,4,Yes,Yes
156,23,Female,Research & Development,Research Scientist,9441,1,3,2,6,Yes,No
157,24,Male,Human Resources,Human Resources,12667,2,4,18,9,Yes,Yes
158,58,Female,Research & Development,Manager,15149,4,4,17,1,No,No
159,38,Male,Sales,Human Resources,4798,1,4,7,4,Yes,No
160,23,Female,Research & Development,Manager,12600,4,2,16,8,Yes,No
161,23,Female,Research & Development,Human Resources,8495,2,1,7,2,Yes,No
162,49,Male,Sales,Human Resources,12900,2,1,6,8,Yes,No
163,44,Male,Sales,Sales Executive,16673,4,2,6,5,Yes,No
164,58,Male,Human Resources,Research Scientist,14130,2,2,2,3,Yes,No
165,53,Male,Human Resources,Human Resources,18222,3,1,0,6,Yes,No
166,54,Female,Sales,Human Resources,4300,3,4,3,7,Yes,Yes
167,22,Male,Sales,Laboratory Technician,12435,2,3,4,5,Yes,No
168,40,Male,Human Resources,Research Scientist,7616,3,3,0,4,Yes,Yes
169,23,Female,Research & Development,Laboratory Technician,19393,1,3,14,5,No,No
170,47,Male,Sales,Research Scientist,13617,4,4,4,4,No,No
171,53,Male,Human Resources,Laboratory Technician,8752,1,1,12,7,No,Yes
172,27,Male,Research & Development,Human Resources,12852,4,2,7,0,No,No
173,53,Male,Sales,Human Resources,9295,2,1,7,6,Yes,No
174,25,Male,Research & Development,Sales Executive,6225,1,4,4,9,No,No
175,32,Female,Human Resources,Laboratory Technician,4316,2,2,8,9,No,No
176,38,Male,Sales,Manager,15337,2,4,0,1,Yes,No
177,59,Male,Research & Development,Sales Executive,9807,4,3,3,8,No,Yes
178,45,Male,Sales,Laboratory Technician,6683,4,3,2,0,No,No
179,26,Male,Research & Development,Laboratory Technician,10227,4,4,1,9,Yes,No
180,55,Male,Human Resources,Sales Executive,6273,1,2,7,5,Yes,No
181,27,Female,Human Resources,Human Resources,3145,3,2,8,8,Yes,Yes
182,43,Male,Sales,Laboratory Technician,8010,4,1,1,0,No,No
183,32,Female,Research & Development,Human Resources,19035,4,3,13,3,No,No
184,37,Female,Sales,Sales Executive,6040,1,1,13,3,Yes,No
185,54,Male,Sales,Human Resources,12654,4,1,3,8,Yes,Yes
186,30,Male,Research & Development,Research Scientist,19866,1,4,5,4,No,No
187,27,Male,Research & Development,Manager,17996,2,4,10,4,Yes,No
188,37,Male,Research & Development,Laboratory Technician,19336,4,1,2,5,No,No
189,50,Female,Human Resources,Manager,11853,4,3,7,0,Yes,No
190,24,Male,Sales,Human Resources,14695,2,4,2,0,Yes,No
191,41,Male,Sales,Laboratory Technician,5852,2,1,13,8,No,No
192,57,Male,Human Resources,Human Resources,19014,2,1,12,2,Yes,Yes
193,40,Male,Research & Development,Research Scientist,3987,4,1,12,3,Yes,No
194,47,Male,Human Resources,Sales Executive,10622,3,1,1,0,Yes,No
195,24,Male,Human Resources,Laboratory Technician,12160,3,1,12,8,No,No
196,40,Female,Human Resources,Research Scientist,9652,3,1,18,7,Yes,No
197,41,Female,Sales,Research Scientist,10421,4,4,5,1,Yes,Yes
198,53,Male,Human Resources,Laboratory Technician,3769,2,3,15,7,Yes,No
199,28,Male,Sales,Human Resources,17114,4,1,1,6,Yes,No
200,54,Male,Sales,Research Scientist,7358,2,2,7,5,Yes,Yes
201,39,Female,Sales,Manager,14543,4,4,16,0,Yes,No
202,22,Male,Research & Development,Research Scientist,8699,4,4,1,6,No,No
203,32,Female,Sales,Human Resources,4125,2,1,9,9,No,Yes
204,49,Male,Sales,Human Resources,13793,3,4,15,6,Yes,No
205,46,Male,Research & Development,Manager,9764,2,1,5,8,No,No
206,44,Male,Sales,Research Scientist,15323,1,3,1,0,No,No
207,52,Male,Human Resources,Human Resources,16031,1,3,1,1,Yes,No
208,51,Female,Human Resources,Laboratory Technician,17052,2,4,12,8,No,No
209,56,Female,Sales,Sales Executive,15640,4,4,14,8,No,No
210,28,Male,Research & Development,Sales Executive,10843,1,2,1,5,No,No
211,37,Male,Human Resources,Sales Executive,17210,1,4,6,5,No,Yes
212,47,Female,Research & Development,Research Scientist,19456,4,2,2,3,No,No
213,23,Female,Research & Development,Manager,13106,4,3,7,3,No,No
214,22,Female,Human Resources,Human Resources,8189,3,3,13,4,No,No
215,33,Female,Research & Development,Laboratory Technician,5472,4,1,6,2,No,No
216,26,Male,Human Resources,Laboratory Technician,9704,2,3,6,0,Yes,No
217,58,Female,Research & Development,Research Scientist,6713,2,2,0,0,Yes,No
218,53,Male,Human Resources,Sales Executive,8051,3,4,16,6,No,No
219,30,Female,Sales,Research Scientist,13756,1,1,8,0,No,Yes
220,56,Female,Human Resources,Manager,5475,1,2,12,0,Yes,Yes
221,40,Female,Human Resources,Manager,6610,4,4,18,2,No,No
222,37,Female,Human Resources,Human Resources,7255,2,1,18,9,No,No
223,24,Female,Human Resources,Human Resources,17484,1,3,16,3,Yes,No
224,41,Male,Research & Development,Manager,4735,3,2,9,3,Yes,No
225,45,Male,Sales,Manager,11258,3,4,9,1,Yes,No
226,54,Female,Human Resources,Manager,10979,2,1,3,0,No,No
227,45,Female,Research & Development,Research Scientist,5428,3,1,7,2,No,No
228,32,Male,Sales,Manager,15345,3,3,19,3,Yes,Yes
229,29,Female,Sales,Laboratory Technician,10426,2,4,19,2,Yes,Yes
230,57,Female,Sales,Sales Executive,11533,4,3,17,7,No,No
231,59,Male,Sales,Manager,8249,4,3,13,9,Yes,No
232,41,Female,Human Resources,Sales Executive,12686,3,4,17,0,No,No
233,56,Female,Human Resources,Research Scientist,17109,4,4,13,1,No,Yes
234,46,Male,Research & Development,Sales Executive,3661,4,4,19,6,Yes,Yes
235,56,Male,Research & Development,Research Scientist,15075,3,2,14,3,Yes,No
236,46,Male,Research & Development,Laboratory Technician,17788,4,4,3,7,No,No
237,50,Female,Sales,Research Scientist,13060,3,1,12,2,Yes,Yes
238,39,Male,Sales,Research Scientist,18836,1,3,7,5,Yes,No
239,39,Male,Human Resources,Human Resources,13526,2,2,17,8,Yes,Yes
240,23,Male,Sales,Manager,6374,2,4,11,0,Yes,No
241,56,Male,Sales,Manager,3207,4,2,13,0,No,No
242,37,Male,Sales,Laboratory Technician,5665,4,4,1,7,No,Yes
243,57,Male,Research & Development,Laboratory Technician,3632,4,2,17,2,No,No
244,54,Female,Research & Development,Manager,6083,2,3,1,4,No,No
245,25,Female,Human Resources,Human Resources,16711,1,3,10,0,Yes,No
246,54,Male,Sales,Manager,13123,1,1,8,4,Yes,No
247,35,Male,Sales,Human Resources,10123,2,1,11,5,No,Yes
248,42,Male,Human Resources,Laboratory Technician,13754,1,4,16,7,No,No
249,41,Female,Sales,Sales Executive,4679,2,3,14,2,Yes,No
250,29,Female,Sales,Laboratory Technician,18901,1,2,16,2,No,No
251,28,Female,Research & Development,Laboratory Technician,3236,3,2,17,9,No,No
252,24,Female,Human Resources,Research Scientist,10446,3,2,5,8,Yes,No
253,38,Female,Human Resources,Research Scientist,7443,2,1,16,3,No,No
254,54,Female,Human Resources,Research Scientist,18463,1,2,17,3,Yes,Yes
255,33,Female,Human Resources,Research Scientist,11555,4,1,7,6,Yes,Yes
256,43,Female,Research & Development,Human Resources,19669,1,1,8,1,No,No
257,43,Female,Research & Development,Manager,3148,3,4,5,7,Yes,No
258,51,Male,Sales,Sales Executive,16395,3,2,4,5,No,No
259,59,Male,Sales,Laboratory Technician,7895,1,2,11,2,Yes,No
260,59,Male,Sales,Human Resources,14023,1,3,10,8,No,No
261,29,Male,Sales,Sales Executive,13699,4,4,0,4,No,Yes
262,48,Female,Research & Development,Human Resources,12715,4,3,10,7,No,No
263,48,Female,Human Resources,Human Resources,19163,1,4,18,6,Yes,No
264,55,Male,Research & Development,Laboratory Technician,8782,1,2,8,7,Yes,No
265,42,Female,Sales,Manager,19724,1,1,1,6,No,No
266,51,Male,Research & Development,Research Scientist,5817,1,1,11,2,Yes,No
267,54,Female,Human Resources,Manager,18096,2,1,3,1,No,No
268,49,Male,Human Resources,Laboratory Technician,8299,1,1,3,6,No,No
269,54,Female,Research & Development,Laboratory Technician,12917,4,1,17,2,Yes,No
270,26,Female,Research & Development,Laboratory Technician,6267,3,3,14,2,No,No
271,40,Male,Research & Development,Sales Executive,7406,2,4,18,1,Yes,No
272,25,Female,Sales,Manager,13382,1,2,12,3,No,No
273,56,Male,Research & Development,Manager,7437,3,3,18,7,Yes,No
274,38,Male,Research & Development,Human Resources,8435,2,4,16,0,No,No
275,49,Male,Research & Development,Human Resources,7107,3,1,5,0,No,No
276,51,Male,Human Resources,Human Resources,3560,1,4,15,4,Yes,Yes
277,50,Female,Human Resources,Laboratory Technician,15329,1,4,11,4,No,No
278,27,Female,Sales,Manager,4826,4,1,18,0,No,No
279,56,Female,Sales,Laboratory Technician,14421,1,1,4,5,Yes,No
280,58,Male,Human Resources,Sales Executive,15265,1,1,16,0,No,No
281,45,Female,Human Resources,Human Resources,10629,2,2,0,4,Yes,No
282,50,Male,Human Resources,Laboratory Technician,11325,4,1,9,8,No,No
283,52,Female,Research & Development,Laboratory Technician,10693,2,2,14,4,Yes,Yes
284,56,Female,Research & Development,Sales Executive,11264,3,1,10,5,No,No
285,54,Female,Human Resources,Research Scientist,15686,1,2,12,7,No,No
286,42,Male,Research & Development,Manager,16716,3,4,4,0,No,No
287,53,Female,Research & Development,Research Scientist,9721,2,3,0,1,Yes,No
288,44,Female,Sales,Human Resources,10373,1,4,11,8,Yes,No
289,54,Male,Human Resources,Laboratory Technician,8907,1,4,10,2,Yes,Yes
290,24,Female,Human Resources,Sales Executive,19127,2,1,16,5,Yes,No
291,39,Male,Research & Development,Sales Executive,8656,2,2,3,4,No,No
292,46,Female,Human Resources,Manager,11984,2,3,14,1,No,Yes
293,52,Male,Sales,Research Scientist,11286,2,1,8,6,Yes,Yes
294,24,Male,Sales,Manager,8901,2,1,19,3,Yes,Yes
295,45,Female,Sales,Laboratory Technician,7917,1,1,18,0,Yes,No
296,53,Male,Human Resources,Manager,11429,2,4,18,3,No,Yes
297,43,Male,Human Resources,Sales Executive,17716,1,2,11,5,Yes,No
298,44,Male,Human Resources,Sales Executive,18795,1,2,4,6,Yes,No
299,23,Male,Human Resources,Human Resources,14138,2,3,9,6,No,No
300,48,Male,Human Resources,Human Resources,5530,2,2,16,6,No,No
301,23,Male,Sales,Laboratory Technician,8772,4,2,4,2,Yes,No
302,47,Female,Research & Development,Research Scientist,18476,1,1,15,5,No,No
303,38,Male,Sales,Manager,18751,2,1,6,7,Yes,No
304,54,Male,Human Resources,Laboratory Technician,5964,2,4,8,3,No,No
305,30,Female,Sales,Human Resources,10137,2,1,2,7,Yes,No
306,50,Female,Human Resources,Manager,19920,4,1,14,1,Yes,No
307,47,Female,Human Resources,Human Resources,16891,4,1,15,9,Yes,No
308,56,Female,Sales,Manager,10340,3,1,17,8,Yes,No
309,46,Female,Human Resources,Research Scientist,10967,1,4,13,8,No,Yes
310,45,Female,Research & Development,Laboratory Technician,15415,3,1,2,7,No,Yes
311,34,Female,Human Resources,Manager,14871,2,3,11,9,No,No
312,28,Male,Research & Development,Sales Executive,14916,4,3,8,9,No,No
313,57,Male,Research & Development,Sales Executive,11734,4,3,6,0,Yes,No
314,41,Female,Human Resources,Manager,3845,3,3,8,1,Yes,No
315,22,Male,Sales,Manager,5494,4,1,12,5,No,No
316,29,Male,Research & Development,Manager,15677,2,3,17,9,No,No
317,37,Male,Sales,Sales Executive,15330,4,1,4,4,No,No
318,35,Female,Research & Development,Sales Executive,8179,3,4,12,8,No,No
319,33,Female,Human Resources,Manager,9610,2,3,3,4,No,No
320,44,Male,Human Resources,Human Resources,9430,3,2,1,1,Yes,No
321,36,Female,Research & Development,Human Resources,10154,4,3,15,9,Yes,Yes
322,49,Male,Human Resources,Research Scientist,16828,3,3,8,3,Yes,Yes
323,55,Male,Research & Development,Laboratory Technician,13145,3,1,8,8,No,No
324,23,Male,Human Resources,Human Resources,9488,1,3,5,0,No,No
325,53,Male,Sales,Sales Executive,6850,4,2,10,0,No,No
326,44,Female,Human Resources,Human Resources,16564,4,1,0,6,No,Yes
327,43,Female,Sales,Research Scientist,8078,3,1,3,2,Yes,No
328,46,Female,Human Resources,Research Scientist,15168,1,4,12,9,Yes,No
329,43,Male,Sales,Laboratory Technician,8448,4,4,12,1,No,No
330,43,Female,Human Resources,Human Resources,12074,2,3,12,8,Yes,No
331,27,Male,Sales,Sales Executive,9406,3,4,1,2,Yes,No
332,36,Female,Research & Development,Sales Executive,11800,4,4,8,1,No,No
333,58,Male,Research & Development,Manager,17083,2,4,7,7,No,No
334,54,Male,Sales,Sales Executive,4638,4,1,6,9,No,Yes
335,29,Male,Human Resources,Laboratory Technician,13340,2,1,3,5,No,Yes
336,26,Female,Sales,Laboratory Technician,4382,3,1,17,5,No,No
337,25,Female,Human Resources,Sales Executive,4403,4,4,2,9,No,No
338,27,Female,Research & Development,Sales Executive,12011,4,1,5,6,Yes,No
339,53,Female,Human Resources,Manager,6292,1,4,11,6,Yes,No
340,51,Male,Research & Development,Sales Executive,12011,3,1,11,5,No,No
341,56,Female,Human Resources,Manager,3419,2,1,7,3,Yes,No
342,37,Female,Human Resources,Manager,15411,4,2,0,8,No,No
343,34,Male,Human Resources,Sales Executive,7517,4,3,3,5,No,No
344,51,Male,Sales,Research Scientist,18422,2,4,10,3,No,No
345,40,Male,Sales,Research Scientist,12700,3,2,2,2,No,No
346,38,Female,Research & Development,Manager,8693,1,1,12,3,Yes,No
347,40,Male,Research & Development,Sales Executive,3767,1,4,16,2,No,No
348,49,Male,Sales,Research Scientist,17818,4,1,9,1,Yes,Yes
349,47,Male,Research & Development,Sales Executive,4549,2,3,11,4,No,No
350,58,Female,Sales,Sales Executive,12956,4,2,14,1,No,No
351,47,Male,Human Resources,Sales Executive,9140,2,3,9,5,No,Yes
352,44,Female,Research & Development,Human Resources,13837,1,2,13,2,Yes,No
353,30,Female,Research & Development,Sales Executive,6716,3,1,12,5,No,No
354,33,Male,Sales,Human Resources,7481,2,3,4,9,No,Yes
355,22,Male,Research & Development,Manager,9548,1,3,5,8,No,No
356,22,Female,Research & Development,Research Scientist,7837,4,1,1,0,Yes,No
357,55,Male,Human Resources,Research Scientist,10758,2,3,16,5,Yes,Yes
358,53,Male,Research & Development,Research Scientist,13900,3,4,3,8,Yes,No
359,46,Female,Human Resources,Research Scientist,10993,4,2,13,3,No,No
360,22,Female,Sales,Research Scientist,8542,4,2,9,1,Yes,Yes
361,37,Male,Research & Development,Research Scientist,17828,1,2,2,3,No,No
362,26,Female,Human Resources,Research Scientist,19052,2,4,2,0,Yes,No
363,43,Male,Sales,Manager,5385,4,2,14,2,Yes,Yes
364,50,Male,Research & Development,Sales Executive,17308,3,1,5,9,No,Yes
365,24,Male,Sales,Laboratory Technician,3671,2,3,16,8,Yes,No
366,33,Female,Research & Development,Human Resources,3163,3,4,11,9,No,No
367,47,Male,Sales,Laboratory Technician,11656,4,2,19,4,No,No
368,37,Male,Sales,Laboratory Technician,14234,3,1,10,5,Yes,No
369,58,Male,Human Resources,Sales Executive,7795,1,3,3,2,No,No
370,43,Female,Sales,Sales Executive,13634,3,3,5,4,No,No
371,50,Female,Research & Development,Sales Executive,7798,2,4,0,7,Yes,No
372,35,Female,Research & Development,Research Scientist,13749,3,4,19,5,Yes,No
373,49,Female,Human Resources,Manager,8827,3,4,15,3,No,No
374,26,Female,Research & Development,Research Scientist,7719,1,1,14,1,Yes,Yes
375,51,Male,Research & Development,Manager,3593,3,1,16,8,No,Yes
376,26,Female,Research & Development,Manager,10394,3,4,7,0,No,No
377,33,Female,Sales,Laboratory Technician,17056,4,2,11,0,Yes,No
378,37,Female,Sales,Laboratory Technician,13636,4,3,9,3,Yes,No
379,47,Male,Research & Development,Manager,3016,2,3,14,6,Yes,No
380,47,Female,Human Resources,Manager,6191,4,1,8,0,Yes,No
381,42,Female,Sales,Research Scientist,3392,4,3,1,8,No,No
382,57,Male,Human Resources,Research Scientist,9272,4,2,4,3,No,No
383,54,Female,Research & Development,Laboratory Technician,19955,4,3,5,2,Yes,No
384,51,Male,Research & Development,Sales Executive,6631,1,1,6,0,Yes,No
385,58,Male,Sales,Manager,9172,4,1,0,9,No,No
386,44,Male,Research & Development,Research Scientist,12312,1,2,6,3,No,No
387,31,Male,Sales,Laboratory Technician,11906,1,2,19,8,No,No
388,26,Male,Research & Development,Research Scientist,19462,4,3,11,9,No,No
389,57,Female,Research & Development,Manager,11080,3,3,15,5,Yes,No
390,55,Male,Sales,Manager,10099,1,1,15,5,No,No
