EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,JobSatisfaction,EnvironmentSatisfaction,YearsAtCompany,YearsSinceLastPromotion,OverTime,Attrition
101,22,0,0,3,17437,3,4,18,1,1,1
102,56,0,1,1,14530,1,2,18,3,0,0
103,58,0,0,3,10010,4,2,15,7,1,0
104,35,0,0,4,14207,2,2,11,8,0,0
105,24,0,2,3,5989,1,3,11,2,0,1
106,22,0,2,4,15040,1,2,19,6,0,0
107,26,0,1,4,12218,1,4,5,8,0,0
108,47,1,0,3,9471,2,1,3,3,1,1
109,35,0,0,1,5863,4,3,5,9,1,0
110,48,0,2,0,13693,4,2,10,2,1,0
111,30,0,1,0,4177,4,3,0,4,1,1
112,36,0,2,4,7760,3,3,14,0,1,1
113,36,0,2,4,3011,3,2,10,2,0,0
114,47,0,2,1,19353,3,3,18,7,1,0
115,34,0,2,2,14556,2,1,17,7,1,0
116,53,0,0,3,14563,3,4,16,3,1,0
117,53,0,0,4,17051,2,4,18,1,0,1
118,25,0,2,0,14022,4,1,13,7,0,0
119,51,0,1,1,11234,3,3,17,7,1,0
120,58,1,1,3,19173,3,2,18,9,0,1
121,44,1,1,1,16178,1,3,14,3,1,0
122,36,0,1,3,9570,2,1,14,2,1,0
123,50,0,2,3,3406,4,3,3,1,0,0
124,57,1,0,4,12206,1,4,6,8,0,1
125,34,0,1,1,7431,1,3,12,0,1,0
126,53,1,2,1,9542,4,1,2,6,1,0
127,28,1,1,0,11906,1,4,15,4,0,0
128,43,1,1,0,7146,2,3,8,7,1,1
129,49,1,2,4,15046,2,3,7,3,0,0
130,23,1,0,4,15611,3,4,19,6,1,0
131,27,0,0,2,16076,1,2,12,4,0,0
132,49,1,2,0,19524,3,4,16,4,1,0
133,49,0,0,3,7882,1,2,16,8,1,0
134,41,0,2,1,17113,2,1,16,8,0,0
135,51,1,2,4,16645,2,1,0,8,1,0
136,32,1,2,1,9012,2,4,7,5,1,0
137,49,0,0,1,10151,1,4,18,5,0,0
138,46,1,2,2,6610,2,1,5,4,1,0
139,54,1,1,0,12884,1,2,2,8,1,0
140,22,0,0,4,9894,3,1,4,9,1,0
141,48,0,0,1,16467,1,4,12,7,0,0
142,34,1,0,4,19489,3,1,14,6,0,1
143,24,0,0,3,12873,1,4,13,6,0,0
144,27,1,1,2,15289,3,4,15,5,1,0
145,29,1,0,3,15208,2,1,17,4,1,0
146,48,1,0,4,13828,3,2,10,3,1,0
147,30,0,2,4,5137,2,3,2,2,1,0
148,58,0,0,0,4286,2,1,9,2,0,0
149,54,0,1,1,18710,3,3,9,5,1,0
150,45,0,1,1,14371,1,1,15,3,1,0
151,36,0,1,3,18945,1,3,11,5,1,0
152,53,1,1,2,10052,4,2,1,2,0,0
153,53,1,0,1,6654,1,2,8,3,1,0
154,45,1,0,0,18600,4,1,2,8,1,1
155,33,1,1,3,11636,1,4,14,4,1,1
156,23,0,1,3,9441,1,3,2,6,1,0
157,24,1,0,0,12667,2,4,18,9,1,1
158,58,0,1,2,15149,4,4,17,1,0,0
159,38,1,2,0,4798,1,4,7,4,1,0
160,23,0,1,2,12600,4,2,16,8,1,0
161,23,0,1,0,8495,2,1,7,2,1,0
162,49,1,2,0,12900,2,1,6,8,1,0
163,44,1,2,4,16673,4,2,6,5,1,0
164,58,1,0,3,14130,2,2,2,3,1,0
165,53,1,0,0,18222,3,1,0,6,1,0
166,54,0,2,0,4300,3,4,3,7,1,1
167,22,1,2,1,12435,2,3,4,5,1,0
168,40,1,0,3,7616,3,3,0,4,1,1
169,23,0,1,1,19393,1,3,14,5,0,0
170,47,1,2,3,13617,4,4,4,4,0,0
171,53,1,0,1,8752,1,1,12,7,0,1
172,27,1,1,0,12852,4,2,7,0,0,0
173,53,1,2,0,9295,2,1,7,6,1,0
174,25,1,1,4,6225,1,4,4,9,0,0
175,32,0,0,1,4316,2,2,8,9,0,0
176,38,1,2,2,15337,2,4,0,1,1,0
177,59,1,1,4,9807,4,3,3,8,0,1
178,45,1,2,1,6683,4,3,2,0,0,0
179,26,1,1,1,10227,4,4,1,9,1,0
180,55,1,0,4,6273,1,2,7,5,1,0
181,27,0,0,0,3145,3,2,8,8,1,1
182,43,1,2,1,8010,4,1,1,0,0,0
183,32,0,1,0,19035,4,3,13,3,0,0
184,37,0,2,4,6040,1,1,13,3,1,0
185,54,1,2,0,12654,4,1,3,8,1,1
186,30,1,1,3,19866,1,4,5,4,0,0
187,27,1,1,2,17996,2,4,10,4,1,0
188,37,1,1,1,19336,4,1,2,5,0,0
189,50,0,0,2,11853,4,3,7,0,1,0
190,24,1,2,0,14695,2,4,2,0,1,0
191,41,1,2,1,5852,2,1,13,8,0,0
192,57,1,0,0,19014,2,1,12,2,1,1
193,40,1,1,3,3987,4,1,12,3,1,0
194,47,1,0,4,10622,3,1,1,0,1,0
195,24,1,0,1,12160,3,1,12,8,0,0
196,40,0,0,3,9652,3,1,18,7,1,0
197,41,0,2,3,10421,4,4,5,1,1,1
198,53,1,0,1,3769,2,3,15,7,1,0
199,28,1,2,0,17114,4,1,1,6,1,0
200,54,1,2,3,7358,2,2,7,5,1,1
201,39,0,2,2,14543,4,4,16,0,1,0
202,22,1,1,3,8699,4,4,1,6,0,0
203,32,0,2,0,4125,2,1,9,9,0,1
204,49,1,2,0,13793,3,4,15,6,1,0
205,46,1,1,2,9764,2,1,5,8,0,0
206,44,1,2,3,15323,1,3,1,0,0,0
207,52,1,0,0,16031,1,3,1,1,1,0
208,51,0,0,1,17052,2,4,12,8,0,0
209,56,0,2,4,15640,4,4,14,8,0,0
210,28,1,1,4,10843,1,2,1,5,0,0
211,37,1,0,4,17210,1,4,6,5,0,1
212,47,0,1,3,19456,4,2,2,3,0,0
213,23,0,1,2,13106,4,3,7,3,0,0
214,22,0,0,0,8189,3,3,13,4,0,0
215,33,0,1,1,5472,4,1,6,2,0,0
216,26,1,0,1,9704,2,3,6,0,1,0
217,58,0,1,3,6713,2,2,0,0,1,0
218,53,1,0,4,8051,3,4,16,6,0,0
219,30,0,2,3,13756,1,1,8,0,0,1
220,56,0,0,2,5475,1,2,12,0,1,1
221,40,0,0,2,6610,4,4,18,2,0,0
222,37,0,0,0,7255,2,1,18,9,0,0
223,24,0,0,0,17484,1,3,16,3,1,0
224,41,1,1,2,4735,3,2,9,3,1,0
225,45,1,2,2,11258,3,4,9,1,1,0
226,54,0,0,2,10979,2,1,3,0,0,0
227,45,0,1,3,5428,3,1,7,2,0,0
228,32,1,2,2,15345,3,3,19,3,1,1
229,29,0,2,1,10426,2,4,19,2,1,1
230,57,0,2,4,11533,4,3,17,7,0,0
231,59,1,2,2,8249,4,3,13,9,1,0
232,41,0,0,4,12686,3,4,17,0,0,0
233,56,0,0,3,17109,4,4,13,1,0,1
234,46,1,1,4,3661,4,4,19,6,1,1
235,56,1,1,3,15075,3,2,14,3,1,0
236,46,1,1,1,17788,4,4,3,7,0,0
237,50,0,2,3,13060,3,1,12,2,1,1
238,39,1,2,3,18836,1,3,7,5,1,0
239,39,1,0,0,13526,2,2,17,8,1,1
240,23,1,2,2,6374,2,4,11,0,1,0
241,56,1,2,2,3207,4,2,13,0,0,0
242,37,1,2,1,5665,4,4,1,7,0,1
243,57,1,1,1,3632,4,2,17,2,0,0
244,54,0,1,2,6083,2,3,1,4,0,0
245,25,0,0,0,16711,1,3,10,0,1,0
246,54,1,2,2,13123,1,1,8,4,1,0
247,35,1,2,0,10123,2,1,11,5,0,1
248,42,1,0,1,13754,1,4,16,7,0,0
249,41,0,2,4,4679,2,3,14,2,1,0
250,29,0,2,1,18901,1,2,16,2,0,0
251,28,0,1,1,3236,3,2,17,9,0,0
252,24,0,0,3,10446,3,2,5,8,1,0
253,38,0,0,3,7443,2,1,16,3,0,0
254,54,0,0,3,18463,1,2,17,3,1,1
255,33,0,0,3,11555,4,1,7,6,1,1
256,43,0,1,0,19669,1,1,8,1,0,0
257,43,0,1,2,3148,3,4,5,7,1,0
258,51,1,2,4,16395,3,2,4,5,0,0
259,59,1,2,1,7895,1,2,11,2,1,0
260,59,1,2,0,14023,1,3,10,8,0,0
261,29,1,2,4,13699,4,4,0,4,0,1
262,48,0,1,0,12715,4,3,10,7,0,0
263,48,0,0,0,19163,1,4,18,6,1,0
264,55,1,1,1,8782,1,2,8,7,1,0
265,42,0,2,2,19724,1,1,1,6,0,0
266,51,1,1,3,5817,1,1,11,2,1,0
267,54,0,0,2,18096,2,1,3,1,0,0
268,49,1,0,1,8299,1,1,3,6,0,0
269,54,0,1,1,12917,4,1,17,2,1,0
270,26,0,1,1,6267,3,3,14,2,0,0
271,40,1,1,4,7406,2,4,18,1,1,0
272,25,0,2,2,13382,1,2,12,3,0,0
273,56,1,1,2,7437,3,3,18,7,1,0
274,38,1,1,0,8435,2,4,16,0,0,0
275,49,1,1,0,7107,3,1,5,0,0,0
276,51,1,0,0,3560,1,4,15,4,1,1
277,50,0,0,1,15329,1,4,11,4,0,0
278,27,0,2,2,4826,4,1,18,0,0,0
279,56,0,2,1,14421,1,1,4,5,1,0
280,58,1,0,4,15265,1,1,16,0,0,0
281,45,0,0,0,10629,2,2,0,4,1,0
282,50,1,0,1,11325,4,1,9,8,0,0
283,52,0,1,1,10693,2,2,14,4,1,1
284,56,0,1,4,11264,3,1,10,5,0,0
285,54,0,0,3,15686,1,2,12,7,0,0
286,42,1,1,2,16716,3,4,4,0,0,0
287,53,0,1,3,9721,2,3,0,1,1,0
288,44,0,2,0,10373,1,4,11,8,1,0
289,54,1,0,1,8907,1,4,10,2,1,1
290,24,0,0,4,19127,2,1,16,5,1,0
291,39,1,1,4,8656,2,2,3,4,0,0
292,46,0,0,2,11984,2,3,14,1,0,1
293,52,1,2,3,11286,2,1,8,6,1,1
294,24,1,2,2,8901,2,1,19,3,1,1
295,45,0,2,1,7917,1,1,18,0,1,0
296,53,1,0,2,11429,2,4,18,3,0,1
297,43,1,0,4,17716,1,2,11,5,1,0
298,44,1,0,4,18795,1,2,4,6,1,0
299,23,1,0,0,14138,2,3,9,6,0,0
300,48,1,0,0,5530,2,2,16,6,0,0
301,23,1,2,1,8772,4,2,4,2,1,0
302,47,0,1,3,18476,1,1,15,5,0,0
303,38,1,2,2,18751,2,1,6,7,1,0
304,54,1,0,1,5964,2,4,8,3,0,0
305,30,0,2,0,10137,2,1,2,7,1,0
306,50,0,0,2,19920,4,1,14,1,1,0
307,47,0,0,0,16891,4,1,15,9,1,0
308,56,0,2,2,10340,3,1,17,8,1,0
309,46,0,0,3,10967,1,4,13,8,0,1
310,45,0,1,1,15415,3,1,2,7,0,1
311,34,0,0,2,14871,2,3,11,9,0,0
312,28,1,1,4,14916,4,3,8,9,0,0
313,57,1,1,4,11734,4,3,6,0,1,0
314,41,0,0,2,3845,3,3,8,1,1,0
315,22,1,2,2,5494,4,1,12,5,0,0
316,29,1,1,2,15677,2,3,17,9,0,0
317,37,1,2,4,15330,4,1,4,4,0,0
318,35,0,1,4,8179,3,4,12,8,0,0
319,33,0,0,2,9610,2,3,3,4,0,0
320,44,1,0,0,9430,3,2,1,1,1,0
321,36,0,1,0,10154,4,3,15,9,1,1
322,49,1,0,3,16828,3,3,8,3,1,1
323,55,1,1,1,13145,3,1,8,8,0,0
324,23,1,0,0,9488,1,3,5,0,0,0
325,53,1,2,4,6850,4,2,10,0,0,0
326,44,0,0,0,16564,4,1,0,6,0,1
327,43,0,2,3,8078,3,1,3,2,1,0
328,46,0,0,3,15168,1,4,12,9,1,0
329,43,1,2,1,8448,4,4,12,1,0,0
330,43,0,0,0,12074,2,3,12,8,1,0
331,27,1,2,4,9406,3,4,1,2,1,0
332,36,0,1,4,11800,4,4,8,1,0,0
333,58,1,1,2,17083,2,4,7,7,0,0
334,54,1,2,4,4638,4,1,6,9,0,1
335,29,1,0,1,13340,2,1,3,5,0,1
336,26,0,2,1,4382,3,1,17,5,0,0
337,25,0,0,4,4403,4,4,2,9,0,0
338,27,0,1,4,12011,4,1,5,6,1,0
339,53,0,0,2,6292,1,4,11,6,1,0
340,51,1,1,4,12011,3,1,11,5,0,0
341,56,0,0,2,3419,2,1,7,3,1,0
342,37,0,0,2,15411,4,2,0,8,0,0
343,34,1,0,4,7517,4,3,3,5,0,0
344,51,1,2,3,18422,2,4,10,3,0,0
345,40,1,2,3,12700,3,2,2,2,0,0
346,38,0,1,2,8693,1,1,12,3,1,0
347,40,1,1,4,3767,1,4,16,2,0,0
348,49,1,2,3,17818,4,1,9,1,1,1
349,47,1,1,4,4549,2,3,11,4,0,0
350,58,0,2,4,12956,4,2,14,1,0,0
351,47,1,0,4,9140,2,3,9,5,0,1
352,44,0,1,0,13837,1,2,13,2,1,0
353,30,0,1,4,6716,3,1,12,5,0,0
354,33,1,2,0,7481,2,3,4,9,0,1
355,22,1,1,2,9548,1,3,5,8,0,0
356,22,0,1,3,7837,4,1,1,0,1,0
357,55,1,0,3,10758,2,3,16,5,1,1
358,53,1,1,3,13900,3,4,3,8,1,0
359,46,0,0,3,10993,4,2,13,3,0,0
360,22,0,2,3,8542,4,2,9,1,1,1
361,37,1,1,3,17828,1,2,2,3,0,0
362,26,0,0,3,19052,2,4,2,0,1,0
363,43,1,2,2,5385,4,2,14,2,1,1
364,50,1,1,4,17308,3,1,5,9,0,1
365,24,1,2,1,3671,2,3,16,8,1,0
366,33,0,1,0,3163,3,4,11,9,0,0
367,47,1,2,1,11656,4,2,19,4,0,0
368,37,1,2,1,14234,3,1,10,5,1,0
369,58,1,0,4,7795,1,3,3,2,0,0
370,43,0,2,4,13634,3,3,5,4,0,0
371,50,0,1,4,7798,2,4,0,7,1,0
372,35,0,1,3,13749,3,4,19,5,1,0
373,49,0,0,2,8827,3,4,15,3,0,0
374,26,0,1,3,7719,1,1,14,1,1,1
375,51,1,1,2,3593,3,1,16,8,0,1
376,26,0,1,2,10394,3,4,7,0,0,0
377,33,0,2,1,17056,4,2,11,0,1,0
378,37,0,2,1,13636,4,3,9,3,1,0
379,47,1,1,2,3016,2,3,14,6,1,0
380,47,0,0,2,6191,4,1,8,0,1,0
381,42,0,2,3,3392,4,3,1,8,0,0
382,57,1,0,3,9272,4,2,4,3,0,0
383,54,0,1,1,19955,4,3,5,2,1,0
384,51,1,1,4,6631,1,1,6,0,1,0
385,58,1,2,2,9172,4,1,0,9,0,0
386,44,1,1,3,12312,1,2,6,3,0,0
387,31,1,2,1,11906,1,2,19,8,0,0
388,26,1,1,3,19462,4,3,11,9,0,0
389,57,0,1,2,11080,3,3,15,5,1,0
390,55,1,2,2,10099,1,1,15,5,0,0
391,52,1,2,0,17916,3,2,10,0,0,1
392,31,0,2,4,10083,3,2,3,9,1,0
393,40,1,1,0,12223,4,2,12,1,0,0
394,53,0,1,1,7940,2,3,6,5,0,0
395,22,0,0,3,6456,4,2,3,1,1,0
396,26,0,2,1,10788,2,1,14,2,1,0
397,25,1,1,2,5711,2,1,18,3,1,0
398,37,1,1,0,14280,4,3,8,4,0,0
399,45,1,2,0,19531,4,4,10,8,0,0
400,37,0,0,0,15089,2,3,7,3,1,0
401,23,1,2,1,13142,4,4,0,8,1,0
402,49,1,0,2,19749,2,2,7,9,0,0
403,53,1,1,3,18587,3,3,12,2,1,1
404,48,0,0,3,12866,4,1,3,7,1,0
405,41,0,1,1,7531,3,2,7,0,1,0
406,45,1,2,0,15686,1,1,2,8,0,0
407,33,1,2,4,8330,3,2,8,8,0,1
408,56,1,2,1,8510,3,3,1,9,0,0
409,54,1,0,1,11964,2,4,1,1,0,0
410,54,0,1,2,9493,3,2,12,3,0,1
411,58,0,2,3,13759,4,4,14,7,0,0
412,33,0,2,1,8439,2,2,11,6,1,0
413,24,0,1,1,17473,1,1,3,0,0,0
414,22,1,2,0,12765,4,1,7,4,0,0
415,54,1,1,0,16279,1,2,8,6,1,1
416,31,1,1,4,9511,3,4,4,3,0,0
417,50,0,1,2,14483,4,3,19,0,0,1
418,34,1,1,4,5376,4,3,17,8,1,0
419,33,0,1,0,14824,1,1,10,4,1,0
420,52,0,0,3,9979,4,3,14,1,1,0
421,23,1,2,0,12832,4,1,8,7,0,1
422,56,1,0,2,15504,4,3,16,1,1,0
423,44,1,2,0,9910,3,2,11,2,0,0
424,38,0,0,2,17089,1,1,6,9,0,0
425,47,1,1,2,5196,4,1,9,0,0,0
426,29,0,2,2,8978,2,2,9,1,0,0
427,50,1,2,2,3780,2,1,12,6,1,0
428,47,0,0,2,12908,2,3,18,9,1,0
429,31,0,0,3,9303,2,3,10,1,0,0
430,47,1,2,4,17686,3,1,12,5,1,1
431,55,0,0,1,6983,4,3,7,2,0,0
432,28,0,0,4,12503,1,4,7,3,0,0
433,25,1,0,2,19905,4,1,3,7,0,0
434,32,0,1,3,16070,3,2,14,2,1,0
435,50,1,1,0,15232,2,4,10,9,0,1
436,57,0,0,3,7583,3,1,10,5,0,0
437,46,1,0,2,8946,4,2,0,0,1,1
438,42,1,1,3,19377,1,3,16,6,1,1
439,57,0,1,3,10128,3,2,14,7,1,0
440,31,0,2,2,14889,1,4,19,7,1,1
441,58,0,2,3,15275,3,3,5,2,0,0
442,30,0,1,1,5461,1,1,14,9,1,1
443,45,0,0,1,17291,1,3,8,0,0,0
444,56,1,0,3,17036,2,1,13,8,1,0
445,56,0,0,0,14435,1,1,17,5,1,0
446,57,1,0,2,3685,2,2,16,8,1,0
447,39,1,2,1,15258,4,2,17,6,1,0
448,53,0,1,0,18990,4,2,4,0,1,0
449,45,1,0,3,19422,2,4,19,0,1,0
450,44,1,2,0,13736,2,4,19,5,0,0
451,53,1,0,4,7875,3,2,8,4,1,0
452,58,1,1,1,14182,3,4,10,8,1,0
453,33,0,2,3,5196,3,3,0,1,1,0
454,34,1,1,2,10165,4,3,17,7,1,0
455,44,0,1,3,18997,3,4,5,4,0,0
456,46,0,2,2,17215,1,4,1,1,1,0
457,56,1,2,3,3301,1,3,14,9,1,0
458,51,0,2,0,17571,3,1,13,5,1,0
459,38,0,2,0,12951,1,3,4,9,1,0
460,41,0,2,0,13773,4,3,5,7,0,0
461,46,1,2,4,19140,1,4,5,3,1,0
462,43,0,2,2,16057,4,3,17,1,0,1
463,34,0,0,0,15500,2,4,13,4,1,0
464,40,0,1,4,18921,2,4,9,1,0,0
465,57,1,2,2,14870,2,2,13,1,0,0
466,33,0,0,3,7082,2,3,12,5,1,0
467,40,1,0,4,16718,1,1,2,9,1,0
468,33,1,0,1,13517,3,2,5,8,0,0
469,30,1,1,4,6754,1,4,7,3,0,0
470,28,1,2,4,4724,4,4,11,5,1,0
471,49,1,0,2,4376,1,1,12,6,0,0
472,35,1,1,3,11706,1,4,10,5,0,0
473,52,0,1,1,11894,4,3,11,7,0,0
474,40,1,1,0,19406,2,2,0,3,1,0
475,37,0,0,0,8926,2,4,16,0,0,0
476,26,0,2,4,9251,2,4,15,6,0,1
477,56,1,0,2,12496,3,1,10,2,0,0
478,33,0,0,2,6300,4,3,12,5,1,1
479,46,0,2,0,11553,4,4,17,1,1,0
480,42,0,2,1,6727,1,1,10,8,0,0
481,57,0,2,3,19898,3,4,11,0,1,0
482,44,1,1,1,19832,2,1,5,5,0,0
483,37,0,2,3,9019,3,1,8,5,1,0
484,35,1,0,0,18463,4,3,15,4,1,0
485,52,0,2,3,13047,4,4,3,4,0,0
486,26,0,0,2,14754,1,3,2,0,1,0
487,56,1,1,4,5520,1,1,15,9,1,0
488,44,0,0,4,6081,4,2,11,4,1,0
489,50,0,0,0,4428,2,4,10,1,0,0
490,32,0,2,2,6967,2,2,4,6,1,0
491,39,1,2,1,9445,3,4,17,2,1,1
492,33,0,0,2,17566,4,3,18,3,0,0
493,30,1,2,4,17042,4,3,5,2,1,0
494,31,0,1,4,14329,2,3,17,2,1,0
495,38,1,1,2,5159,2,3,5,3,1,1
496,59,1,2,2,8132,4,3,3,4,1,0
497,28,0,1,4,17933,1,2,11,0,1,1
498,34,0,2,1,13473,4,3,18,3,0,0
499,30,1,0,0,13805,4,1,1,7,0,0
500,48,1,0,0,6083,2,1,16,9,1,0
